"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","sd.u0","sd.u1","sd.e","true_cluster_means","l1_X","g.exchangeable1_X","g.ar11_X","g.independence1_X","l2_X.cent","g.exchangeable2_X.cent","g.ar12_X.cent","g.independence2_X.cent","l3a_X.cent","g.exchangeable3_X.cent","g.ar13_X.cent","g.independence3_X.cent","l3a_X.cluster.means","g.exchangeable3_X.cluster.means","g.ar13_X.cluster.means","g.independence3_X.cluster.means","l4_X","g.exchangeable4_X","g.ar14_X","g.independence4_X","l4_X.cluster.means","g.exchangeable4_X.cluster.means","g.ar14_X.cluster.means","g.independence4_X.cluster.means","l1_success","l2_success","l3a_success","l4_success","g.independence1_success","g.exchangeable1_success","g.ar11_success","g.independence2_success","g.exchangeable2_success","g.ar12_success","g.independence3_success","g.ar13_success","g.independence4_success","g.exchangeable4_success","g.ar14_success"
100,5,"binary","binary",1,0,0,0,0,1,FALSE,1.525,1.508,1.508,1.508,1.549,1.511,1.511,1.512,1.525,1.509,1.509,1.509,1.536,1.521,1.521,1.521,1.524,1.509,1.509,1.509,0.012,0.012,0.012,0.012,1,0.992,1,0.999,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,0,0,0,0,1,FALSE,1.517,1.504,1.504,1.504,1.546,1.511,1.512,1.512,1.519,1.507,1.507,1.507,1.511,1.499,1.499,1.499,1.519,1.507,1.507,1.507,-0.008,-0.008,-0.008,-0.008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","binary",1,0,0,0,0,1,FALSE,1.515,1.507,1.507,1.507,1.535,1.516,1.517,1.517,1.521,1.513,1.513,1.513,1.473,1.465,1.465,1.465,1.521,1.513,1.513,1.513,-0.048,-0.048,-0.048,-0.048,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","binary",1,0,0,0,0,1,FALSE,1.508,1.501,1.501,1.501,1.522,1.505,1.505,1.506,1.507,1.501,1.501,1.501,1.516,1.51,1.51,1.51,1.507,1.501,1.501,1.501,0.009,0.009,0.009,0.009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,0,0,0,0,1,FALSE,1.512,1.508,1.508,1.508,1.52,1.51,1.511,1.511,1.512,1.508,1.508,1.508,1.522,1.518,1.518,1.518,1.512,1.508,1.508,1.508,0.01,0.01,0.01,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,0,0,0,0,1,FALSE,1.503,1.5,1.5,1.5,1.512,1.503,1.504,1.504,1.504,1.501,1.501,1.501,1.497,1.494,1.494,1.494,1.504,1.501,1.501,1.501,-0.007,-0.007,-0.007,-0.007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,0,0,0,0,1,FALSE,1.53,1.511,1.511,1.511,1.504,1.394,1.393,1.393,1.536,1.518,1.518,1.517,1.52,1.501,1.501,1.501,1.536,1.518,1.518,1.517,-0.017,-0.016,-0.017,-0.016,0.997,0.968,0.998,0.999,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,0,0,0,0,1,FALSE,1.517,1.503,1.503,1.503,1.494,1.383,1.383,1.383,1.518,1.505,1.505,1.505,1.518,1.505,1.504,1.504,1.518,1.505,1.505,1.505,0,0,0,0,0.999,0.983,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","binary",1,0,0,0,0,1,FALSE,1.513,1.503,1.503,1.504,1.501,1.439,1.439,1.439,1.513,1.504,1.504,1.504,1.525,1.516,1.516,1.516,1.513,1.504,1.504,1.504,0.012,0.012,0.012,0.012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","binary",1,0,0,0,0,1,FALSE,1.509,1.503,1.503,1.503,1.5,1.438,1.438,1.438,1.509,1.503,1.503,1.503,1.52,1.514,1.514,1.514,1.509,1.503,1.503,1.503,0.012,0.011,0.012,0.011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,0,0,0,0,1,FALSE,1.513,1.509,1.509,1.509,1.508,1.477,1.477,1.477,1.514,1.51,1.51,1.51,1.508,1.504,1.504,1.504,1.514,1.51,1.51,1.51,-0.006,-0.006,-0.006,-0.006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,0,0,0,0,1,FALSE,1.503,1.5,1.5,1.5,1.499,1.467,1.467,1.467,1.503,1.5,1.5,1.5,1.508,1.504,1.505,1.505,1.503,1.5,1.5,1.5,0.005,0.004,0.005,0.005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
