"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.01","sd.u0","sd.u1","sd.e","true_cluster_means","l3a_g.01_bias","l4_g.01_bias","g.exchangeable3_g.01_bias","g.exchangeable4_g.01_bias","g.ar13_g.01_bias","g.ar14_g.01_bias","g.independence3_g.01_bias","g.independence4_g.01_bias","l1_success","l2_success","l3a_success","l4_success","g.independence1_success","g.exchangeable1_success","g.ar11_success","g.independence2_success","g.exchangeable2_success","g.ar12_success","g.independence3_success","g.ar13_success","g.independence4_success","g.exchangeable4_success","g.ar14_success"
100,5,"binary","binary",1,0,0,0,0,0,1,FALSE,0.036,0.012,0.021,0.012,0.021,0.012,0.021,0.012,1,0.992,1,0.999,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,0,0,0,0,0,1,FALSE,0.011,-0.008,-0.001,-0.008,-0.001,-0.008,-0.001,-0.008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","binary",1,0,0,0,0,0,1,FALSE,-0.027,-0.048,-0.035,-0.048,-0.035,-0.048,-0.035,-0.048,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","binary",1,0,0,0,0,0,1,FALSE,0.016,0.009,0.01,0.009,0.01,0.009,0.01,0.009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,0,0,0,0,0,1,FALSE,0.022,0.01,0.018,0.01,0.018,0.01,0.018,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,0,0,0,0,0,1,FALSE,-0.003,-0.007,-0.006,-0.007,-0.006,-0.007,-0.006,-0.007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,0,0,0,0,0,1,FALSE,0.02,-0.017,0.001,-0.016,0.001,-0.017,0.001,-0.016,0.997,0.968,0.998,0.999,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,0,0,0,0,0,1,FALSE,0.018,0,0.005,0,0.004,0,0.004,0,0.999,0.983,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","binary",1,0,0,0,0,0,1,FALSE,0.025,0.012,0.016,0.012,0.016,0.012,0.016,0.012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","binary",1,0,0,0,0,0,1,FALSE,0.02,0.012,0.014,0.011,0.014,0.012,0.014,0.011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,0,0,0,0,0,1,FALSE,0.008,-0.006,0.004,-0.006,0.004,-0.006,0.004,-0.006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,0,0,0,0,0,1,FALSE,0.008,0.005,0.004,0.004,0.005,0.005,0.005,0.005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,0,0,0,0,0,1,FALSE,-0.002,0.002,-0.002,0.002,-0.002,0.002,-0.002,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,0,0,0,0,0,1,FALSE,0.005,0.004,0.005,0.004,0.005,0.004,0.005,0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","continuous",1,0,0,0,0,0,1,FALSE,0.006,0.007,0.006,0.007,0.006,0.007,0.006,0.007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","continuous",1,0,0,0,0,0,1,FALSE,0.002,0,0.002,0,0.002,0,0.002,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,0,0,0,0,0,1,FALSE,0.003,0.004,0.003,0.004,0.003,0.004,0.003,0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,0,0,0,0,0,1,FALSE,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,1,0,0,0,0,1,FALSE,0.028,0.006,0.012,0.006,0.011,0.005,0.012,0.006,1,0.98,0.998,0.998,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,1,0,0,0,0,1,FALSE,0.024,0.011,0.014,0.01,0.014,0.011,0.014,0.011,1,0.996,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","binary",1,1,0,0,0,0,1,FALSE,0.018,0.004,0.009,0.004,0.009,0.004,0.009,0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","binary",1,1,0,0,0,0,1,FALSE,0.005,0.009,-0.001,0.009,-0.001,0.009,-0.001,0.009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,1,0,0,0,0,1,FALSE,0.013,0.008,0.009,0.008,0.009,0.008,0.009,0.008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,1,0,0,0,0,1,FALSE,0.008,0.009,0.005,0.009,0.005,0.009,0.006,0.009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,1,0,0,0,0,1,FALSE,0.043,-0.002,0.023,-0.003,0.023,-0.003,0.023,-0.003,0.992,0.999,0.993,0.991,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,1,0,0,0,0,1,FALSE,0.021,-0.001,0.007,-0.001,0.007,-0.001,0.007,-0.001,0.995,1,0.995,0.994,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","binary",1,1,0,0,0,0,1,FALSE,0.017,0,0.008,0,0.008,0,0.008,0,1,0.774,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","binary",1,1,0,0,0,0,1,FALSE,0.012,0.001,0.005,0.001,0.005,0.001,0.005,0.001,1,0.785,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,1,0,0,0,0,1,FALSE,0.01,-0.002,0.005,-0.002,0.005,-0.002,0.005,-0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,1,0,0,0,0,1,FALSE,0.006,0.001,0.003,0.001,0.003,0.001,0.003,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,1,0,0,0,0,1,FALSE,-0.001,-0.006,-0.001,-0.006,-0.001,-0.006,-0.001,-0.006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,1,0,0,0,0,1,FALSE,-0.003,-0.001,-0.003,-0.001,-0.003,-0.001,-0.003,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","continuous",1,1,0,0,0,0,1,FALSE,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","continuous",1,1,0,0,0,0,1,FALSE,-0.001,0.001,-0.001,0.001,-0.001,0.001,-0.001,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,1,0,0,0,0,1,FALSE,0.001,-0.003,0.001,-0.003,0.001,-0.003,0.001,-0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,1,0,0,0,0,1,FALSE,0.001,0.002,0.001,0.002,0.001,0.002,0.001,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,3,0,0,0,0,1,FALSE,0.03,-0.017,0.014,-0.018,0.014,-0.018,0.014,-0.018,0.997,0.971,0.998,0.998,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,3,0,0,0,0,1,FALSE,0.016,0.002,0.005,0.003,0.005,0.003,0.005,0.003,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","binary",1,3,0,0,0,0,1,FALSE,0.021,-0.002,0.013,-0.002,0.013,-0.002,0.013,-0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","binary",1,3,0,0,0,0,1,FALSE,0.002,-0.016,-0.004,-0.016,-0.004,-0.016,-0.004,-0.016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
