"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","sd.u0","sd.u1","sd.e","true_cluster_means","l1_X","g.exchangeable1_X","g.ar11_X","g.independence1_X","l2_X.cent","g.exchangeable2_X.cent","g.ar12_X.cent","g.independence2_X.cent","l3a_X.cent","g.exchangeable3_X.cent","g.ar13_X.cent","g.independence3_X.cent","l3a_X.cluster.means","g.exchangeable3_X.cluster.means","g.ar13_X.cluster.means","g.independence3_X.cluster.means","l4_X","g.exchangeable4_X","g.ar14_X","g.independence4_X","l4_X.cluster.means","g.exchangeable4_X.cluster.means","g.ar14_X.cluster.means","g.independence4_X.cluster.means"
200,20,"binary","continuous",NA,0,0,0,0,1,FALSE,0.497,0.497,0.497,0.497,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.473,0.473,0.473,0.473,0.499,0.499,0.499,0.499,-0.026,-0.026,-0.026,-0.026
200,20,"binary","continuous",NA,1,0,0,0,1,FALSE,0.396,0.396,0.344,0.336,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,-0.306,-0.306,-0.306,-0.306,0.51,0.51,0.51,0.51,-0.816,-0.816,-0.816,-0.816
200,20,"binary","continuous",NA,0,0,0,0,1,FALSE,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.498,0.498,0.498,0.498,0.506,0.506,0.506,0.506,-0.008,-0.008,-0.008,-0.008
200,20,"binary","continuous",NA,1,0,0,0,1,FALSE,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.498,0.498,0.498,0.498,0.497,0.497,0.497,0.497,0.001,0.001,0.001,0.001
200,20,"binary","continuous",NA,0,0,0,0,1,FALSE,0.5,0.5,0.5,0.5,0.499,0.499,0.5,0.499,0.499,0.499,0.499,0.499,0.505,0.505,0.505,0.505,0.499,0.499,0.499,0.499,0.006,0.006,0.006,0.006
200,20,"binary","continuous",NA,1,0,0,0,1,FALSE,0.61,0.61,0.66,0.669,0.498,0.498,0.498,0.498,0.498,0.498,0.498,0.498,1.298,1.298,1.298,1.298,0.498,0.498,0.498,0.498,0.8,0.8,0.799,0.8
200,20,"binary","continuous",NA,0,0,1,0,1,FALSE,0.496,0.496,0.497,0.498,0.496,0.496,0.497,0.496,0.496,0.496,0.497,0.496,0.532,0.532,0.523,0.532,0.496,0.496,0.497,0.496,0.036,0.036,0.026,0.036
200,20,"binary","continuous",NA,1,0,1,0,1,FALSE,0.489,0.489,0.5,0.333,0.498,0.498,0.502,0.498,0.498,0.498,0.502,0.498,-0.275,-0.275,-0.245,-0.275,0.498,0.498,0.502,0.498,-0.773,-0.773,-0.746,-0.773
200,20,"binary","continuous",NA,0,0,1,0,1,FALSE,0.503,0.503,0.505,0.502,0.504,0.504,0.505,0.504,0.504,0.504,0.505,0.504,0.464,0.464,0.462,0.464,0.504,0.504,0.505,0.504,-0.04,-0.04,-0.042,-0.04
200,20,"binary","continuous",NA,1,0,1,0,1,FALSE,0.501,0.501,0.502,0.5,0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.498,0.498,0.509,0.498,0.502,0.502,0.502,0.502,-0.004,-0.004,0.007,-0.004
200,20,"binary","continuous",NA,0,0,1,0,1,FALSE,0.499,0.499,0.505,0.503,0.499,0.499,0.505,0.499,0.499,0.499,0.505,0.499,0.577,0.577,0.579,0.577,0.499,0.499,0.505,0.499,0.078,0.078,0.073,0.078
200,20,"binary","continuous",NA,1,0,1,0,1,FALSE,0.513,0.513,0.507,0.668,0.504,0.504,0.505,0.504,0.504,0.504,0.505,0.504,1.275,1.275,1.262,1.275,0.504,0.504,0.505,0.504,0.771,0.771,0.757,0.771
200,20,"binary","continuous",NA,0,0,0,0,1,FALSE,1.501,1.501,1.501,1.501,1.501,1.501,1.501,1.501,1.501,1.501,1.501,1.501,1.493,1.493,1.493,1.493,1.501,1.501,1.501,1.501,-0.008,-0.008,-0.008,-0.008
200,20,"binary","continuous",NA,1,0,0,0,1,FALSE,1.394,1.394,1.342,1.333,1.507,1.507,1.507,1.507,1.507,1.507,1.507,1.507,0.694,0.694,0.694,0.694,1.507,1.507,1.507,1.507,-0.813,-0.813,-0.813,-0.813
200,20,"binary","continuous",NA,0,0,0,0,1,FALSE,1.501,1.501,1.501,1.501,1.501,1.501,1.501,1.501,1.501,1.501,1.501,1.501,1.5,1.5,1.5,1.5,1.501,1.501,1.501,1.501,-0.001,-0.001,-0.001,-0.001
200,20,"binary","continuous",NA,1,0,0,0,1,FALSE,1.502,1.502,1.502,1.502,1.502,1.502,1.502,1.502,1.502,1.502,1.502,1.502,1.503,1.503,1.503,1.503,1.502,1.502,1.502,1.502,0.001,0.001,0.001,0.001
200,20,"binary","continuous",NA,0,0,0,0,1,FALSE,1.499,1.499,1.499,1.499,1.499,1.499,1.499,1.499,1.499,1.499,1.499,1.499,1.513,1.513,1.513,1.513,1.499,1.499,1.499,1.499,0.014,0.014,0.014,0.014
200,20,"binary","continuous",NA,1,0,0,0,1,FALSE,1.618,1.618,1.668,1.677,1.505,1.505,1.509,1.505,1.505,1.505,1.505,1.505,2.312,2.312,2.312,2.312,1.505,1.505,1.505,1.505,0.807,0.807,0.807,0.807
200,20,"binary","continuous",NA,0,0,1,0,1,FALSE,1.502,1.502,1.502,1.503,1.502,1.502,1.502,1.502,1.502,1.502,1.502,1.502,1.526,1.526,1.562,1.526,1.502,1.502,1.502,1.502,0.023,0.023,0.06,0.023
200,20,"binary","continuous",NA,1,0,1,0,1,FALSE,1.499,1.499,1.508,1.339,1.508,1.508,1.51,1.508,1.508,1.508,1.51,1.508,0.718,0.718,0.724,0.718,1.508,1.508,1.51,1.508,-0.791,-0.791,-0.785,-0.791
200,20,"binary","continuous",NA,0,0,1,0,1,FALSE,1.5,1.5,1.501,1.504,1.5,1.5,1.501,1.5,1.5,1.5,1.501,1.5,1.572,1.572,1.554,1.572,1.5,1.5,1.501,1.5,0.073,0.073,0.054,0.073
200,20,"binary","continuous",NA,1,0,1,0,1,FALSE,1.496,1.496,1.495,1.503,1.496,1.496,1.495,1.496,1.496,1.496,1.495,1.496,1.531,1.531,1.53,1.531,1.496,1.496,1.495,1.496,0.035,0.035,0.035,0.035
200,20,"binary","continuous",NA,0,0,1,0,1,FALSE,1.504,1.504,1.5,1.506,1.504,1.504,1.5,1.504,1.504,1.504,1.5,1.504,1.525,1.525,1.533,1.525,1.504,1.504,1.5,1.504,0.02,0.02,0.033,0.02
200,20,"binary","continuous",NA,1,0,1,0,1,FALSE,1.513,1.513,1.507,1.674,1.503,1.503,1.505,1.503,1.503,1.503,1.505,1.503,2.289,2.289,2.279,2.289,1.503,1.503,1.505,1.503,0.786,0.786,0.774,0.786
200,20,"binary","continuous",NA,0,0,0,0,1,FALSE,2.997,2.996,2.996,2.996,2.998,2.998,2.998,2.998,2.998,2.998,2.998,2.998,2.97,2.97,2.97,2.97,2.998,2.998,2.998,2.998,-0.027,-0.027,-0.027,-0.027
200,20,"binary","continuous",NA,1,0,0,0,1,FALSE,2.888,2.888,2.839,2.831,3,3,3,3,3,3,3,3,2.211,2.211,2.211,2.211,3,3,3,3,-0.789,-0.789,-0.789,-0.789
200,20,"binary","continuous",NA,0,0,0,0,1,FALSE,3.003,3.003,3.003,3.003,3.003,3.003,3.001,3.003,3.003,3.003,3.003,3.003,2.999,2.999,2.999,2.999,3.003,3.003,3.003,3.003,-0.003,-0.003,-0.003,-0.003
200,20,"binary","continuous",NA,1,0,0,0,1,FALSE,2.996,2.996,2.996,2.996,2.996,2.996,2.993,2.996,2.996,2.996,2.996,2.996,2.997,2.997,2.997,2.997,2.996,2.996,2.996,2.996,0.001,0.001,0.001,0.001
200,20,"binary","continuous",NA,0,0,0,0,1,FALSE,3,3,3,3,2.999,2.999,2.999,2.999,2.999,2.999,2.999,2.999,3.02,3.02,3.02,3.02,2.999,2.999,2.999,2.999,0.021,0.021,0.021,0.021
200,20,"binary","continuous",NA,1,0,0,0,1,FALSE,3.118,3.118,3.166,3.175,3.006,3.006,3.001,3.006,3.006,3.006,3.006,3.006,3.803,3.803,3.804,3.803,3.006,3.006,3.006,3.006,0.797,0.797,0.798,0.797
200,20,"binary","continuous",NA,0,0,1,0,1,FALSE,3.002,3.002,3.005,3.006,3.002,3.002,3.005,3.002,3.002,3.002,3.005,3.002,3.071,3.071,3.055,3.071,3.002,3.002,3.005,3.002,0.069,0.069,0.05,0.069
200,20,"binary","continuous",NA,1,0,1,0,1,FALSE,2.988,2.988,2.997,2.823,2.998,2.998,2.998,2.998,2.998,2.998,2.998,2.998,2.189,2.189,2.198,2.189,2.998,2.998,2.998,2.998,-0.809,-0.809,-0.801,-0.809
200,20,"binary","continuous",NA,0,0,1,0,1,FALSE,3.003,3.003,3.003,2.997,3.003,3.003,3.003,3.003,3.003,3.003,3.003,3.003,2.877,2.877,2.856,2.877,3.003,3.003,3.003,3.003,-0.127,-0.127,-0.147,-0.127
200,20,"binary","continuous",NA,1,0,1,0,1,FALSE,2.996,2.996,2.996,2.991,2.997,2.997,2.997,2.997,2.997,2.997,2.997,2.997,2.969,2.969,2.981,2.969,2.997,2.997,2.997,2.997,-0.028,-0.028,-0.015,-0.028
200,20,"binary","continuous",NA,0,0,1,0,1,FALSE,2.999,2.999,2.996,2.997,2.999,2.999,2.996,2.999,2.999,2.999,2.996,2.999,2.951,2.951,2.953,2.951,2.999,2.999,2.996,2.999,-0.048,-0.048,-0.043,-0.048
200,20,"binary","continuous",NA,1,0,1,0,1,FALSE,3.008,3.008,2.997,3.165,2.998,2.998,2.996,2.998,2.998,2.998,2.996,2.998,3.772,3.772,3.786,3.772,2.998,2.998,2.996,2.998,0.774,0.774,0.791,0.774
