"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.01","sd.u0","sd.u1","sd.e","true_cluster_means","l3a_g.01_bias","l4_g.01_bias","g.exchangeable3_g.01_bias","g.exchangeable4_g.01_bias","g.ar13_g.01_bias","g.ar14_g.01_bias","g.independence3_g.01_bias","g.independence4_g.01_bias"
200,20,"binary","continuous",NA,0,0,-1,0,0,1,FALSE,0.973,0.974,0.973,0.974,0.973,0.974,0.973,0.974
200,20,"binary","continuous",NA,1,0,-1,0,0,1,FALSE,0.194,0.184,0.194,0.184,0.194,0.184,0.194,0.184
200,20,"binary","continuous",NA,0,0,0,0,0,1,FALSE,-0.002,-0.008,-0.002,-0.008,-0.002,-0.008,-0.002,-0.008
200,20,"binary","continuous",NA,1,0,0,0,0,1,FALSE,-0.002,0.001,-0.002,0.001,-0.002,0.001,-0.002,0.001
200,20,"binary","continuous",NA,0,0,1,0,0,1,FALSE,-0.995,-0.994,-0.995,-0.994,-0.995,-0.994,-0.995,-0.994
200,20,"binary","continuous",NA,1,0,1,0,0,1,FALSE,-0.202,-0.2,-0.202,-0.2,-0.202,-0.201,-0.202,-0.2
200,20,"binary","continuous",NA,0,0,-1,1,0,1,FALSE,1.032,1.036,1.032,1.036,1.023,1.026,1.032,1.036
200,20,"binary","continuous",NA,1,0,-1,1,0,1,FALSE,0.225,0.227,0.225,0.227,0.255,0.254,0.225,0.227
200,20,"binary","continuous",NA,0,0,0,1,0,1,FALSE,-0.036,-0.04,-0.036,-0.04,-0.038,-0.042,-0.036,-0.04
200,20,"binary","continuous",NA,1,0,0,1,0,1,FALSE,-0.002,-0.004,-0.002,-0.004,0.009,0.007,-0.002,-0.004
200,20,"binary","continuous",NA,0,0,1,1,0,1,FALSE,-0.923,-0.922,-0.923,-0.922,-0.921,-0.927,-0.923,-0.922
200,20,"binary","continuous",NA,1,0,1,1,0,1,FALSE,-0.225,-0.229,-0.225,-0.229,-0.238,-0.243,-0.225,-0.229
200,20,"binary","continuous",NA,0,0,-1,0,0,1,FALSE,0.993,0.992,0.993,0.992,0.993,0.992,0.993,0.992
200,20,"binary","continuous",NA,1,0,-1,0,0,1,FALSE,0.194,0.187,0.194,0.187,0.194,0.187,0.194,0.187
200,20,"binary","continuous",NA,0,0,0,0,0,1,FALSE,0,-0.001,0,-0.001,0,-0.001,0,-0.001
200,20,"binary","continuous",NA,1,0,0,0,0,1,FALSE,0.003,0.001,0.003,0.001,0.003,0.001,0.003,0.001
200,20,"binary","continuous",NA,0,0,1,0,0,1,FALSE,-0.987,-0.986,-0.987,-0.986,-0.987,-0.986,-0.987,-0.986
200,20,"binary","continuous",NA,1,0,1,0,0,1,FALSE,-0.188,-0.193,-0.188,-0.193,-0.188,-0.193,-0.188,-0.193
200,20,"binary","continuous",NA,0,0,-1,1,0,1,FALSE,1.026,1.023,1.026,1.023,1.062,1.06,1.026,1.023
200,20,"binary","continuous",NA,1,0,-1,1,0,1,FALSE,0.218,0.209,0.218,0.209,0.224,0.215,0.218,0.209
200,20,"binary","continuous",NA,0,0,0,1,0,1,FALSE,0.072,0.073,0.072,0.073,0.054,0.054,0.072,0.073
200,20,"binary","continuous",NA,1,0,0,1,0,1,FALSE,0.031,0.035,0.031,0.035,0.03,0.035,0.031,0.035
200,20,"binary","continuous",NA,0,0,1,1,0,1,FALSE,-0.975,-0.98,-0.975,-0.98,-0.967,-0.967,-0.975,-0.98
200,20,"binary","continuous",NA,1,0,1,1,0,1,FALSE,-0.211,-0.214,-0.211,-0.214,-0.221,-0.226,-0.211,-0.214
200,20,"binary","continuous",NA,0,0,-1,0,0,1,FALSE,0.97,0.973,0.97,0.973,0.97,0.973,0.97,0.973
200,20,"binary","continuous",NA,1,0,-1,0,0,1,FALSE,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211
200,20,"binary","continuous",NA,0,0,0,0,0,1,FALSE,-0.001,-0.003,-0.001,-0.003,-0.001,-0.003,-0.001,-0.003
200,20,"binary","continuous",NA,1,0,0,0,0,1,FALSE,-0.003,0.001,-0.003,0.001,-0.003,0.001,-0.003,0.001
200,20,"binary","continuous",NA,0,0,1,0,0,1,FALSE,-0.98,-0.979,-0.98,-0.979,-0.98,-0.979,-0.98,-0.979
200,20,"binary","continuous",NA,1,0,1,0,0,1,FALSE,-0.197,-0.203,-0.197,-0.203,-0.196,-0.202,-0.197,-0.203
200,20,"binary","continuous",NA,0,0,-1,1,0,1,FALSE,1.071,1.069,1.071,1.069,1.055,1.05,1.071,1.069
200,20,"binary","continuous",NA,1,0,-1,1,0,1,FALSE,0.189,0.191,0.189,0.191,0.198,0.199,0.189,0.191
200,20,"binary","continuous",NA,0,0,0,1,0,1,FALSE,-0.123,-0.127,-0.123,-0.127,-0.144,-0.147,-0.123,-0.127
200,20,"binary","continuous",NA,1,0,0,1,0,1,FALSE,-0.031,-0.028,-0.031,-0.028,-0.019,-0.015,-0.031,-0.028
200,20,"binary","continuous",NA,0,0,1,1,0,1,FALSE,-1.049,-1.048,-1.049,-1.048,-1.047,-1.043,-1.049,-1.048
200,20,"binary","continuous",NA,1,0,1,1,0,1,FALSE,-0.228,-0.226,-0.228,-0.226,-0.214,-0.209,-0.228,-0.226
