"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l2_g.10_bias","l3a_g.10_bias","l4_g.10_bias","g.exchangeable2_g.10_bias","g.exchangeable3_g.10_bias","g.exchangeable4_g.10_bias","g.ar12_g.10_bias","g.ar13_g.10_bias","g.ar14_g.10_bias","g.independence2_g.10_bias","g.independence3_g.10_bias","g.independence4_g.10_bias"
200,20,"binary","continuous",NA,0,0,0.5,0,0,1,FALSE,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
200,20,"binary","continuous",NA,1,0,0.5,0,0,1,FALSE,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
200,20,"binary","continuous",NA,0,0,0.5,0,0,1,FALSE,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
200,20,"binary","continuous",NA,1,0,0.5,0,0,1,FALSE,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003
200,20,"binary","continuous",NA,0,0,0.5,0,0,1,FALSE,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001,-0.001,-0.001
200,20,"binary","continuous",NA,1,0,0.5,0,0,1,FALSE,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002
200,20,"binary","continuous",NA,0,0,0.5,1,0,1,FALSE,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.003,-0.003,-0.003,-0.004,-0.004,-0.004
200,20,"binary","continuous",NA,1,0,0.5,1,0,1,FALSE,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,0.002,0.002,0.002,-0.002,-0.002,-0.002
200,20,"binary","continuous",NA,0,0,0.5,1,0,1,FALSE,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.004,0.004,0.004
200,20,"binary","continuous",NA,1,0,0.5,1,0,1,FALSE,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
200,20,"binary","continuous",NA,0,0,0.5,1,0,1,FALSE,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.005,0.005,0.005,-0.001,-0.001,-0.001
200,20,"binary","continuous",NA,1,0,0.5,1,0,1,FALSE,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.004,0.004,0.004
200,20,"binary","continuous",NA,0,0,1.5,0,0,1,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
200,20,"binary","continuous",NA,1,0,1.5,0,0,1,FALSE,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007
200,20,"binary","continuous",NA,0,0,1.5,0,0,1,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
200,20,"binary","continuous",NA,1,0,1.5,0,0,1,FALSE,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
200,20,"binary","continuous",NA,0,0,1.5,0,0,1,FALSE,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
200,20,"binary","continuous",NA,1,0,1.5,0,0,1,FALSE,0.005,0.005,0.005,0.005,0.005,0.005,0.009,0.005,0.005,0.005,0.005,0.005
200,20,"binary","continuous",NA,0,0,1.5,1,0,1,FALSE,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
200,20,"binary","continuous",NA,1,0,1.5,1,0,1,FALSE,0.008,0.008,0.008,0.008,0.008,0.008,0.01,0.01,0.01,0.008,0.008,0.008
200,20,"binary","continuous",NA,0,0,1.5,1,0,1,FALSE,0,0,0,0,0,0,0.001,0.001,0.001,0,0,0
200,20,"binary","continuous",NA,1,0,1.5,1,0,1,FALSE,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.005,-0.005,-0.005,-0.004,-0.004,-0.004
200,20,"binary","continuous",NA,0,0,1.5,1,0,1,FALSE,0.004,0.004,0.004,0.004,0.004,0.004,0,0,0,0.004,0.004,0.004
200,20,"binary","continuous",NA,1,0,1.5,1,0,1,FALSE,0.003,0.003,0.003,0.003,0.003,0.003,0.005,0.005,0.005,0.003,0.003,0.003
200,20,"binary","continuous",NA,0,0,3,0,0,1,FALSE,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002
200,20,"binary","continuous",NA,1,0,3,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0
200,20,"binary","continuous",NA,0,0,3,0,0,1,FALSE,0.003,0.003,0.003,0.003,0.003,0.003,0.001,0.003,0.003,0.003,0.003,0.003
200,20,"binary","continuous",NA,1,0,3,0,0,1,FALSE,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.007,-0.004,-0.004,-0.004,-0.004,-0.004
200,20,"binary","continuous",NA,0,0,3,0,0,1,FALSE,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
200,20,"binary","continuous",NA,1,0,3,0,0,1,FALSE,0.006,0.006,0.006,0.006,0.006,0.006,0.001,0.006,0.006,0.006,0.006,0.006
200,20,"binary","continuous",NA,0,0,3,1,0,1,FALSE,0.002,0.002,0.002,0.002,0.002,0.002,0.005,0.005,0.005,0.002,0.002,0.002
200,20,"binary","continuous",NA,1,0,3,1,0,1,FALSE,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002
200,20,"binary","continuous",NA,0,0,3,1,0,1,FALSE,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
200,20,"binary","continuous",NA,1,0,3,1,0,1,FALSE,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003
200,20,"binary","continuous",NA,0,0,3,1,0,1,FALSE,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.004,-0.004,-0.004,-0.001,-0.001,-0.001
200,20,"binary","continuous",NA,1,0,3,1,0,1,FALSE,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.004,-0.004,-0.004,-0.002,-0.002,-0.002
