"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.01","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l2_g.10_bias","l3a_g.10_bias","l3a_g.01_bias","l4_g.10_bias","l4_g.01_bias","g.exchangeable2_g.10_bias","g.exchangeable3_g.10_bias","g.exchangeable3_g.01_bias","g.exchangeable4_g.10_bias","g.exchangeable4_g.01_bias","g.ar12_g.10_bias","g.ar13_g.10_bias","g.ar13_g.01_bias","g.ar14_g.10_bias","g.ar14_g.01_bias","g.independence2_g.10_bias","g.independence3_g.10_bias","g.independence3_g.01_bias","g.independence4_g.10_bias","g.independence4_g.01_bias"
200,20,"binary","continuous",NA,0,0,-1,0.5,0,0,1,FALSE,-0.001,-0.001,0.973,-0.001,0.974,-0.001,-0.001,0.973,-0.001,0.974,-0.001,-0.001,0.973,-0.001,0.974,-0.001,-0.001,0.973,-0.001,0.974
200,20,"binary","continuous",NA,1,0,-1,0.5,0,0,1,FALSE,0.01,0.01,0.194,0.01,0.184,0.01,0.01,0.194,0.01,0.184,0.01,0.01,0.194,0.01,0.184,0.01,0.01,0.194,0.01,0.184
200,20,"binary","continuous",NA,0,0,0,0.5,0,0,1,FALSE,0.006,0.006,-0.002,0.006,-0.008,0.006,0.006,-0.002,0.006,-0.008,0.006,0.006,-0.002,0.006,-0.008,0.006,0.006,-0.002,0.006,-0.008
200,20,"binary","continuous",NA,1,0,0,0.5,0,0,1,FALSE,-0.003,-0.003,-0.002,-0.003,0.001,-0.003,-0.003,-0.002,-0.003,0.001,-0.003,-0.003,-0.002,-0.003,0.001,-0.003,-0.003,-0.002,-0.003,0.001
200,20,"binary","continuous",NA,0,0,1,0.5,0,0,1,FALSE,-0.001,-0.001,-0.995,-0.001,-0.994,-0.001,-0.001,-0.995,-0.001,-0.994,0,-0.001,-0.995,-0.001,-0.994,-0.001,-0.001,-0.995,-0.001,-0.994
200,20,"binary","continuous",NA,1,0,1,0.5,0,0,1,FALSE,-0.002,-0.002,-0.202,-0.002,-0.2,-0.002,-0.002,-0.202,-0.002,-0.2,-0.002,-0.002,-0.202,-0.002,-0.201,-0.002,-0.002,-0.202,-0.002,-0.2
200,20,"binary","continuous",NA,0,0,-1,0.5,1,0,1,FALSE,-0.004,-0.004,1.032,-0.004,1.036,-0.004,-0.004,1.032,-0.004,1.036,-0.003,-0.003,1.023,-0.003,1.026,-0.004,-0.004,1.032,-0.004,1.036
200,20,"binary","continuous",NA,1,0,-1,0.5,1,0,1,FALSE,-0.002,-0.002,0.225,-0.002,0.227,-0.002,-0.002,0.225,-0.002,0.227,0.002,0.002,0.255,0.002,0.254,-0.002,-0.002,0.225,-0.002,0.227
200,20,"binary","continuous",NA,0,0,0,0.5,1,0,1,FALSE,0.004,0.004,-0.036,0.004,-0.04,0.004,0.004,-0.036,0.004,-0.04,0.005,0.005,-0.038,0.005,-0.042,0.004,0.004,-0.036,0.004,-0.04
200,20,"binary","continuous",NA,1,0,0,0.5,1,0,1,FALSE,0.002,0.002,-0.002,0.002,-0.004,0.002,0.002,-0.002,0.002,-0.004,0.002,0.002,0.009,0.002,0.007,0.002,0.002,-0.002,0.002,-0.004
200,20,"binary","continuous",NA,0,0,1,0.5,1,0,1,FALSE,-0.001,-0.001,-0.923,-0.001,-0.922,-0.001,-0.001,-0.923,-0.001,-0.922,0.005,0.005,-0.921,0.005,-0.927,-0.001,-0.001,-0.923,-0.001,-0.922
200,20,"binary","continuous",NA,1,0,1,0.5,1,0,1,FALSE,0.004,0.004,-0.225,0.004,-0.229,0.004,0.004,-0.225,0.004,-0.229,0.005,0.005,-0.238,0.005,-0.243,0.004,0.004,-0.225,0.004,-0.229
200,20,"binary","continuous",NA,0,0,-1,1.5,0,0,1,FALSE,0.001,0.001,0.993,0.001,0.992,0.001,0.001,0.993,0.001,0.992,0.001,0.001,0.993,0.001,0.992,0.001,0.001,0.993,0.001,0.992
200,20,"binary","continuous",NA,1,0,-1,1.5,0,0,1,FALSE,0.007,0.007,0.194,0.007,0.187,0.007,0.007,0.194,0.007,0.187,0.007,0.007,0.194,0.007,0.187,0.007,0.007,0.194,0.007,0.187
200,20,"binary","continuous",NA,0,0,0,1.5,0,0,1,FALSE,0.001,0.001,0,0.001,-0.001,0.001,0.001,0,0.001,-0.001,0.001,0.001,0,0.001,-0.001,0.001,0.001,0,0.001,-0.001
200,20,"binary","continuous",NA,1,0,0,1.5,0,0,1,FALSE,0.002,0.002,0.003,0.002,0.001,0.002,0.002,0.003,0.002,0.001,0.002,0.002,0.003,0.002,0.001,0.002,0.002,0.003,0.002,0.001
200,20,"binary","continuous",NA,0,0,1,1.5,0,0,1,FALSE,-0.001,-0.001,-0.987,-0.001,-0.986,-0.001,-0.001,-0.987,-0.001,-0.986,-0.001,-0.001,-0.987,-0.001,-0.986,-0.001,-0.001,-0.987,-0.001,-0.986
200,20,"binary","continuous",NA,1,0,1,1.5,0,0,1,FALSE,0.005,0.005,-0.188,0.005,-0.193,0.005,0.005,-0.188,0.005,-0.193,0.009,0.005,-0.188,0.005,-0.193,0.005,0.005,-0.188,0.005,-0.193
200,20,"binary","continuous",NA,0,0,-1,1.5,1,0,1,FALSE,0.002,0.002,1.026,0.002,1.023,0.002,0.002,1.026,0.002,1.023,0.002,0.002,1.062,0.002,1.06,0.002,0.002,1.026,0.002,1.023
200,20,"binary","continuous",NA,1,0,-1,1.5,1,0,1,FALSE,0.008,0.008,0.218,0.008,0.209,0.008,0.008,0.218,0.008,0.209,0.01,0.01,0.224,0.01,0.215,0.008,0.008,0.218,0.008,0.209
200,20,"binary","continuous",NA,0,0,0,1.5,1,0,1,FALSE,0,0,0.072,0,0.073,0,0,0.072,0,0.073,0.001,0.001,0.054,0.001,0.054,0,0,0.072,0,0.073
200,20,"binary","continuous",NA,1,0,0,1.5,1,0,1,FALSE,-0.004,-0.004,0.031,-0.004,0.035,-0.004,-0.004,0.031,-0.004,0.035,-0.005,-0.005,0.03,-0.005,0.035,-0.004,-0.004,0.031,-0.004,0.035
200,20,"binary","continuous",NA,0,0,1,1.5,1,0,1,FALSE,0.004,0.004,-0.975,0.004,-0.98,0.004,0.004,-0.975,0.004,-0.98,0,0,-0.967,0,-0.967,0.004,0.004,-0.975,0.004,-0.98
200,20,"binary","continuous",NA,1,0,1,1.5,1,0,1,FALSE,0.003,0.003,-0.211,0.003,-0.214,0.003,0.003,-0.211,0.003,-0.214,0.005,0.005,-0.221,0.005,-0.226,0.003,0.003,-0.211,0.003,-0.214
200,20,"binary","continuous",NA,0,0,-1,3,0,0,1,FALSE,-0.002,-0.002,0.97,-0.002,0.973,-0.002,-0.002,0.97,-0.002,0.973,-0.002,-0.002,0.97,-0.002,0.973,-0.002,-0.002,0.97,-0.002,0.973
200,20,"binary","continuous",NA,1,0,-1,3,0,0,1,FALSE,0,0,0.211,0,0.211,0,0,0.211,0,0.211,0,0,0.211,0,0.211,0,0,0.211,0,0.211
200,20,"binary","continuous",NA,0,0,0,3,0,0,1,FALSE,0.003,0.003,-0.001,0.003,-0.003,0.003,0.003,-0.001,0.003,-0.003,0.001,0.003,-0.001,0.003,-0.003,0.003,0.003,-0.001,0.003,-0.003
