"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.01","sd.u0","sd.u1","sd.e","true_cluster_means","l3a_g.01_bias","l4_g.01_bias","g.independence3_g.01_bias","g.exchangeable3_g.01_bias","g.ar13_g.01_bias","g.independence4_g.01_bias","g.exchangeable4_g.01_bias","g.ar14_g.01_bias"
100,5,"binary","continuous",NA,0,0,1,1,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
200,5,"binary","continuous",NA,0,0,1,1,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
100,20,"binary","continuous",NA,0,0,1,1,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
200,20,"binary","continuous",NA,0,0,1,1,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
100,5,"binary","continuous",NA,1,0,1,1,0,1,TRUE,-0.037,-0.043,-0.037,-0.037,-0.054,-0.838,-0.843,-0.059
200,5,"binary","continuous",NA,1,0,1,1,0,1,TRUE,0.068,0.066,0.068,0.068,0.064,-0.739,-0.734,0.065
100,20,"binary","continuous",NA,1,0,1,1,0,1,TRUE,-0.036,-0.03,-0.036,-0.036,-0.026,-0.829,-0.83,-0.017
200,20,"binary","continuous",NA,1,0,1,1,0,1,TRUE,0.032,0.033,0.032,0.032,0.066,-0.769,-0.767,0.064
100,5,"binary","continuous",NA,3,0,1,1,0,1,TRUE,0,-0.012,0.001,0,0.006,-0.825,-0.812,-0.005
200,5,"binary","continuous",NA,3,0,1,1,0,1,TRUE,-0.009,-0.03,-0.009,-0.009,-0.007,-0.824,-0.83,-0.027
100,20,"binary","continuous",NA,3,0,1,1,0,1,TRUE,0.009,-0.005,0.009,0.009,0.005,-0.799,-0.805,-0.01
200,20,"binary","continuous",NA,3,0,1,1,0,1,TRUE,-0.012,-0.007,-0.012,-0.012,-0.022,-0.804,-0.807,-0.02
100,5,"binary","continuous",NA,0,0,1,1,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
200,5,"binary","continuous",NA,0,0,1,1,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
100,20,"binary","continuous",NA,0,0,1,1,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
200,20,"binary","continuous",NA,0,0,1,1,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
100,5,"binary","continuous",NA,1,0,1,1,0,1,TRUE,0.003,0.01,0.002,0.003,0.018,-1.99,-1.99,0.026
200,5,"binary","continuous",NA,1,0,1,1,0,1,TRUE,-0.058,-0.058,-0.058,-0.058,-0.047,-2.063,-2.058,-0.05
100,20,"binary","continuous",NA,1,0,1,1,0,1,TRUE,0.012,0.014,0.012,0.012,0.032,-1.986,-1.986,0.039
200,20,"binary","continuous",NA,1,0,1,1,0,1,TRUE,0.027,0.019,0.027,0.027,0.031,-1.982,-1.981,0.021
100,5,"binary","continuous",NA,3,0,1,1,0,1,TRUE,0.049,0.04,0.049,0.049,0.049,-1.962,-1.96,0.034
200,5,"binary","continuous",NA,3,0,1,1,0,1,TRUE,0.014,0.023,0.014,0.014,0.016,-1.963,-1.977,0.021
100,20,"binary","continuous",NA,3,0,1,1,0,1,TRUE,0.057,0.054,0.057,0.057,0.053,-1.956,-1.946,0.057
200,20,"binary","continuous",NA,3,0,1,1,0,1,TRUE,-0.017,-0.018,-0.017,-0.017,-0.018,-2.019,-2.018,-0.022
