"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","sd.u0","g.10","sd.u1","sd.e","true_cluster_means","l2_g.10_bias","l3a_g.10_bias","l4_g.10_bias","g.independence2_g.10_bias","g.exchangeable2_g.10_bias","g.ar12_g.10_bias","g.independence3_g.10_bias","g.exchangeable3_g.10_bias","g.ar13_g.10_bias","g.independence4_g.10_bias","g.exchangeable4_g.10_bias","g.ar14_g.10_bias"
100,5,"binary","continuous",NA,0,0,1,0.8,0,1,TRUE,0.011,0.011,0.011,0.015,0.011,0.008,NA,NA,NA,NA,NA,NA
200,5,"binary","continuous",NA,0,0,1,0.8,0,1,TRUE,0.003,0.003,0.003,-0.002,0.003,-0.002,NA,NA,NA,NA,NA,NA
100,20,"binary","continuous",NA,0,0,1,0.8,0,1,TRUE,0,0,0,-0.004,0,-0.002,NA,NA,NA,NA,NA,NA
200,20,"binary","continuous",NA,0,0,1,0.8,0,1,TRUE,-0.003,-0.003,-0.003,0.002,-0.003,-0.003,NA,NA,NA,NA,NA,NA
100,5,"binary","continuous",NA,1,0,1,0.8,0,1,TRUE,0.006,0.006,0.006,0,0.006,0.005,0.001,0.006,0.004,0.001,0.006,0.004
200,5,"binary","continuous",NA,1,0,1,0.8,0,1,TRUE,0.003,0.003,0.003,0.011,0.003,-0.001,0.007,0.003,-0.001,0.007,0.003,-0.001
100,20,"binary","continuous",NA,1,0,1,0.8,0,1,TRUE,-0.006,-0.006,-0.006,-0.009,-0.006,-0.009,-0.007,-0.006,-0.009,-0.007,-0.006,-0.009
200,20,"binary","continuous",NA,1,0,1,0.8,0,1,TRUE,-0.002,-0.001,-0.001,-0.002,-0.002,0.002,0.001,-0.001,0.002,0.001,-0.001,0.002
100,5,"binary","continuous",NA,3,0,1,0.8,0,1,TRUE,0.012,0.012,0.012,0.031,0.012,0.01,0.026,0.012,0.011,0.026,0.012,0.011
200,5,"binary","continuous",NA,3,0,1,0.8,0,1,TRUE,0.023,0.021,0.021,0.025,0.023,0.021,0.015,0.021,0.02,0.015,0.021,0.02
100,20,"binary","continuous",NA,3,0,1,0.8,0,1,TRUE,0.014,0.013,0.013,0.012,0.014,0.016,0.008,0.013,0.016,0.008,0.013,0.016
200,20,"binary","continuous",NA,3,0,1,0.8,0,1,TRUE,-0.004,-0.004,-0.004,-0.003,-0.004,-0.002,-0.007,-0.004,-0.002,-0.007,-0.004,-0.002
100,5,"binary","continuous",NA,0,0,1,2,0,1,TRUE,0.003,0.003,0.003,-0.006,0.003,0.007,NA,NA,NA,NA,NA,NA
200,5,"binary","continuous",NA,0,0,1,2,0,1,TRUE,-0.024,-0.024,-0.024,-0.024,-0.024,-0.029,NA,NA,NA,NA,NA,NA
100,20,"binary","continuous",NA,0,0,1,2,0,1,TRUE,0.003,0.003,0.003,0.008,0.003,0.002,NA,NA,NA,NA,NA,NA
200,20,"binary","continuous",NA,0,0,1,2,0,1,TRUE,0.001,0.001,0.001,0.002,0.001,0,NA,NA,NA,NA,NA,NA
100,5,"binary","continuous",NA,1,0,1,2,0,1,TRUE,-0.008,-0.008,-0.008,-0.013,-0.008,-0.009,-0.008,-0.008,-0.008,-0.008,-0.008,-0.008
200,5,"binary","continuous",NA,1,0,1,2,0,1,TRUE,0,-0.001,-0.001,0.013,0,0.004,0.005,-0.001,0.003,0.005,-0.001,0.003
100,20,"binary","continuous",NA,1,0,1,2,0,1,TRUE,-0.002,-0.002,-0.002,0,-0.002,-0.007,-0.003,-0.002,-0.007,-0.003,-0.002,-0.007
200,20,"binary","continuous",NA,1,0,1,2,0,1,TRUE,0.009,0.008,0.008,0.013,0.009,0.01,0.009,0.008,0.01,0.009,0.008,0.01
100,5,"binary","continuous",NA,3,0,1,2,0,1,TRUE,0.008,0.009,0.009,0,0.008,0.014,0.011,0.009,0.015,0.011,0.009,0.015
200,5,"binary","continuous",NA,3,0,1,2,0,1,TRUE,-0.007,-0.009,-0.009,-0.023,-0.007,-0.004,-0.023,-0.009,-0.006,-0.023,-0.009,-0.006
100,20,"binary","continuous",NA,3,0,1,2,0,1,TRUE,0.002,0.002,0.002,0.014,0.002,-0.004,0.012,0.002,-0.004,0.012,0.002,-0.004
200,20,"binary","continuous",NA,3,0,1,2,0,1,TRUE,0.001,0.001,0.001,0.005,0.001,0.004,0.003,0.001,0.004,0.003,0.001,0.004
