"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","sd.u0","sd.u1","sd.e","true_cluster_means","l1_X","g.exchangeable1_X","g.ar11_X","g.independence1_X","l2_X.cent","g.exchangeable2_X.cent","g.ar12_X.cent","g.independence2_X.cent","l3a_X.cent","g.exchangeable3_X.cent","g.ar13_X.cent","g.independence3_X.cent","l3a_X.cluster.means","g.exchangeable3_X.cluster.means","g.ar13_X.cluster.means","g.independence3_X.cluster.means","l4_X","g.exchangeable4_X","g.ar14_X","g.independence4_X","l4_X.cluster.means","g.exchangeable4_X.cluster.means","g.ar14_X.cluster.means","g.independence4_X.cluster.means"
100,5,"binary","binary",1,0,0,0,0,1,FALSE,1.506,1.489,1.492,1.491,1.53,1.491,1.492,1.492,1.503,1.488,1.489,1.488,1.532,1.517,1.516,1.517,1.503,1.488,1.489,1.488,0.029,0.029,0.027,0.029
200,5,"binary","binary",1,0,0,0,0,1,FALSE,1.538,1.525,1.525,1.525,1.571,1.535,1.536,1.537,1.544,1.531,1.531,1.531,1.513,1.501,1.501,1.501,1.544,1.531,1.531,1.531,-0.031,-0.031,-0.03,-0.031
100,20,"binary","binary",1,0,0,0,0,1,FALSE,1.506,1.502,1.502,1.502,1.51,1.5,1.5,1.501,1.502,1.498,1.498,1.498,1.592,1.587,1.589,1.588,1.502,1.498,1.498,1.498,0.09,0.088,0.09,0.09
200,20,"binary","binary",1,0,0,0,0,1,FALSE,1.513,1.51,1.51,1.51,1.521,1.513,1.513,1.513,1.513,1.51,1.51,1.51,1.515,1.512,1.513,1.512,1.513,1.51,1.51,1.51,0.002,0.002,0.002,0.002
100,5,"continuous","binary",1,0,0,0,0,1,FALSE,1.555,1.532,1.533,1.533,1.529,1.411,1.412,1.411,1.559,1.538,1.538,1.538,1.556,1.534,1.534,1.535,1.559,1.538,1.538,1.538,-0.003,-0.004,-0.004,-0.003
200,5,"continuous","binary",1,0,0,0,0,1,FALSE,1.519,1.505,1.505,1.505,1.498,1.386,1.386,1.386,1.521,1.508,1.508,1.508,1.512,1.499,1.5,1.5,1.521,1.508,1.508,1.508,-0.009,-0.008,-0.009,-0.008
100,20,"continuous","binary",1,0,0,0,0,1,FALSE,1.499,1.494,1.495,1.494,1.492,1.463,1.463,1.463,1.499,1.495,1.495,1.495,1.499,1.496,1.495,1.495,1.499,1.495,1.495,1.495,0,0.001,0,0
200,20,"continuous","binary",1,0,0,0,0,1,FALSE,1.51,1.507,1.507,1.507,1.505,1.472,1.472,1.472,1.509,1.506,1.506,1.506,1.53,1.527,1.528,1.528,1.509,1.506,1.506,1.506,0.021,0.021,0.021,0.021
100,5,"binary","continuous",1,0,0,0,0,1,FALSE,1.515,1.514,1.514,1.514,1.518,1.518,1.518,1.518,1.518,1.518,1.518,1.518,1.5,1.5,1.499,1.5,1.518,1.518,1.518,1.518,-0.018,-0.018,-0.018,-0.018
200,5,"binary","continuous",1,0,0,0,0,1,FALSE,1.499,1.499,1.498,1.498,1.498,1.498,1.497,1.498,1.498,1.498,1.498,1.498,1.496,1.496,1.496,1.496,1.498,1.498,1.498,1.498,-0.003,-0.003,-0.002,-0.003
100,20,"binary","continuous",1,0,0,0,0,1,FALSE,1.501,1.501,1.501,1.501,1.501,1.501,1.501,1.501,1.501,1.501,1.501,1.501,1.503,1.503,1.503,1.503,1.501,1.501,1.501,1.501,0.003,0.003,0.002,0.003
200,20,"binary","continuous",1,0,0,0,0,1,FALSE,1.499,1.499,1.499,1.499,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.484,1.484,1.484,1.484,1.5,1.5,1.5,1.5,-0.016,-0.016,-0.016,-0.016
100,5,"continuous","continuous",1,0,0,0,0,1,FALSE,1.494,1.494,1.494,1.494,1.494,1.494,1.495,1.494,1.494,1.494,1.495,1.494,1.495,1.495,1.494,1.495,1.494,1.494,1.495,1.494,0,0,-0.001,0
200,5,"continuous","continuous",1,0,0,0,0,1,FALSE,1.498,1.499,1.499,1.499,1.498,1.498,1.497,1.498,1.498,1.498,1.498,1.498,1.499,1.499,1.499,1.499,1.498,1.498,1.498,1.498,0.001,0.001,0.001,0.001
100,20,"continuous","continuous",1,0,0,0,0,1,FALSE,1.501,1.501,1.501,1.501,1.501,1.501,1.501,1.501,1.501,1.501,1.501,1.501,1.498,1.498,1.498,1.498,1.501,1.501,1.501,1.501,-0.004,-0.004,-0.004,-0.004
200,20,"continuous","continuous",1,0,0,0,0,1,FALSE,1.499,1.499,1.499,1.499,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.497,1.497,1.497,1.497,1.5,1.5,1.5,1.5,-0.002,-0.002,-0.002,-0.002
100,5,"binary","binary",1,1,0,0,0,1,FALSE,1.516,1.5,1.499,1.499,1.567,1.514,1.515,1.518,1.527,1.511,1.51,1.511,1.508,1.493,1.495,1.493,1.527,1.511,1.51,1.511,-0.019,-0.017,-0.015,-0.018
200,5,"binary","binary",1,1,0,0,0,1,FALSE,1.525,1.514,1.513,1.513,1.587,1.532,1.535,1.535,1.542,1.531,1.53,1.531,1.496,1.484,1.485,1.485,1.542,1.531,1.53,1.531,-0.046,-0.046,-0.046,-0.046
100,20,"binary","binary",1,1,0,0,0,1,FALSE,1.496,1.491,1.491,1.49,1.531,1.5,1.506,1.507,1.501,1.497,1.497,1.497,1.473,1.469,1.469,1.469,1.501,1.497,1.497,1.497,-0.028,-0.027,-0.028,-0.027
200,20,"binary","binary",1,1,0,0,0,1,FALSE,1.504,1.501,1.501,1.501,1.543,1.511,1.516,1.518,1.512,1.509,1.509,1.509,1.473,1.47,1.47,1.47,1.512,1.509,1.509,1.509,-0.039,-0.039,-0.038,-0.039
100,5,"continuous","binary",1,1,0,0,0,1,FALSE,1.555,1.534,1.535,1.534,1.541,1.069,1.066,1.067,1.57,1.551,1.551,1.55,1.551,1.532,1.532,1.531,1.57,1.551,1.551,1.55,-0.019,-0.019,-0.02,-0.019
200,5,"continuous","binary",1,1,0,0,0,1,FALSE,1.518,1.5,1.5,1.5,1.5,1.038,1.039,1.037,1.523,1.506,1.506,1.506,1.516,1.499,1.5,1.499,1.523,1.506,1.506,1.506,-0.007,-0.007,-0.007,-0.007
100,20,"continuous","binary",1,1,0,0,0,1,FALSE,1.509,1.504,1.505,1.505,1.503,1.081,1.076,1.08,1.508,1.505,1.505,1.505,1.512,1.508,1.508,1.508,1.508,1.505,1.505,1.505,0.003,0.003,0.003,0.003
200,20,"continuous","binary",1,1,0,0,0,1,FALSE,1.503,1.5,1.499,1.499,1.499,1.074,1.077,1.075,1.502,1.499,1.499,1.499,1.503,1.5,1.499,1.499,1.502,1.499,1.499,1.499,0.001,0.001,0.001,0
100,5,"binary","continuous",1,1,0,0,0,1,FALSE,1.5,1.5,1.5,1.5,1.501,1.501,1.502,1.501,1.501,1.501,1.501,1.501,1.5,1.5,1.5,1.5,1.501,1.501,1.501,1.501,-0.001,-0.001,-0.001,-0.001
200,5,"binary","continuous",1,1,0,0,0,1,FALSE,1.507,1.507,1.507,1.507,1.515,1.515,1.515,1.515,1.515,1.515,1.515,1.515,1.492,1.492,1.492,1.492,1.515,1.515,1.515,1.515,-0.023,-0.023,-0.023,-0.023
100,20,"binary","continuous",1,1,0,0,0,1,FALSE,1.501,1.501,1.501,1.501,1.501,1.501,1.502,1.501,1.501,1.501,1.501,1.501,1.5,1.5,1.5,1.5,1.501,1.501,1.501,1.501,-0.001,-0.001,-0.001,-0.001
200,20,"binary","continuous",1,1,0,0,0,1,FALSE,1.496,1.496,1.496,1.496,1.496,1.496,1.495,1.496,1.496,1.496,1.496,1.496,1.497,1.497,1.497,1.497,1.496,1.496,1.496,1.496,0.001,0.001,0.001,0.001
100,5,"continuous","continuous",1,1,0,0,0,1,FALSE,1.504,1.504,1.505,1.504,1.505,1.505,1.51,1.505,1.505,1.505,1.505,1.505,1.503,1.503,1.503,1.503,1.505,1.505,1.505,1.505,-0.002,-0.002,-0.002,-0.002
200,5,"continuous","continuous",1,1,0,0,0,1,FALSE,1.501,1.501,1.501,1.501,1.502,1.502,1.504,1.502,1.502,1.502,1.502,1.502,1.5,1.5,1.5,1.5,1.502,1.502,1.502,1.502,-0.002,-0.002,-0.002,-0.002
100,20,"continuous","continuous",1,1,0,0,0,1,FALSE,1.5,1.5,1.5,1.5,1.5,1.5,1.503,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0,0,0,0
200,20,"continuous","continuous",1,1,0,0,0,1,FALSE,1.5,1.5,1.5,1.5,1.5,1.5,1.499,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0,0,0,0
100,5,"binary","binary",1,3,0,0,0,1,FALSE,1.543,1.527,1.527,1.527,1.617,1.511,1.516,1.518,1.537,1.521,1.522,1.522,1.552,1.536,1.537,1.536,1.537,1.521,1.522,1.522,0.016,0.015,0.015,0.014
200,5,"binary","binary",1,3,0,0,0,1,FALSE,1.499,1.486,1.486,1.485,1.6,1.498,1.499,1.504,1.521,1.507,1.508,1.507,1.489,1.476,1.476,1.476,1.521,1.507,1.508,1.507,-0.032,-0.031,-0.032,-0.031
100,20,"binary","binary",1,3,0,0,0,1,FALSE,1.498,1.495,1.494,1.495,1.561,1.488,1.504,1.509,1.498,1.495,1.495,1.495,1.497,1.494,1.494,1.494,1.498,1.495,1.495,1.495,-0.001,-0.001,0,-0.001
200,20,"binary","binary",1,3,0,0,0,1,FALSE,1.511,1.508,1.508,1.508,1.583,1.507,1.523,1.528,1.52,1.517,1.517,1.517,1.505,1.502,1.502,1.502,1.52,1.517,1.517,1.517,-0.016,-0.016,-0.015,-0.015
100,5,"continuous","binary",1,3,0,0,0,1,FALSE,1.557,1.528,1.529,1.528,1.412,0.495,0.507,0.494,1.55,1.522,1.521,1.522,1.566,1.537,1.538,1.537,1.55,1.522,1.521,1.522,0.016,0.015,0.016,0.016
200,5,"continuous","binary",1,3,0,0,0,1,FALSE,1.521,1.505,1.505,1.504,1.405,0.495,0.496,0.495,1.519,1.502,1.503,1.502,1.525,1.509,1.509,1.508,1.519,1.502,1.503,1.502,0.006,0.006,0.006,0.006
