"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.01","sd.u0","sd.u1","sd.e","true_cluster_means","l3a_g.01_bias","l4_g.01_bias","g.exchangeable3_g.01_bias","g.exchangeable4_g.01_bias","g.ar13_g.01_bias","g.ar14_g.01_bias","g.independence3_g.01_bias","g.independence4_g.01_bias"
100,5,"binary","binary",1,0,0,0,0,0,1,FALSE,0.032,0.029,0.017,0.029,0.016,0.027,0.017,0.029
200,5,"binary","binary",1,0,0,0,0,0,1,FALSE,0.013,-0.031,0.001,-0.031,0.001,-0.03,0.001,-0.031
100,20,"binary","binary",1,0,0,0,0,0,1,FALSE,0.092,0.09,0.087,0.088,0.089,0.09,0.088,0.09
200,20,"binary","binary",1,0,0,0,0,0,1,FALSE,0.015,0.002,0.012,0.002,0.013,0.002,0.012,0.002
100,5,"continuous","binary",1,0,0,0,0,0,1,FALSE,0.056,-0.003,0.034,-0.004,0.034,-0.004,0.035,-0.003
200,5,"continuous","binary",1,0,0,0,0,0,1,FALSE,0.012,-0.009,-0.001,-0.008,0,-0.009,0,-0.008
100,20,"continuous","binary",1,0,0,0,0,0,1,FALSE,-0.001,0,-0.004,0.001,-0.005,0,-0.005,0
200,20,"continuous","binary",1,0,0,0,0,0,1,FALSE,0.03,0.021,0.027,0.021,0.028,0.021,0.028,0.021
100,5,"binary","continuous",1,0,0,0,0,0,1,FALSE,0,-0.018,0,-0.018,-0.001,-0.018,0,-0.018
200,5,"binary","continuous",1,0,0,0,0,0,1,FALSE,-0.004,-0.003,-0.004,-0.003,-0.004,-0.002,-0.004,-0.003
100,20,"binary","continuous",1,0,0,0,0,0,1,FALSE,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.003
200,20,"binary","continuous",1,0,0,0,0,0,1,FALSE,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016
100,5,"continuous","continuous",1,0,0,0,0,0,1,FALSE,-0.005,0,-0.005,0,-0.006,-0.001,-0.005,0
200,5,"continuous","continuous",1,0,0,0,0,0,1,FALSE,-0.001,0.001,-0.001,0.001,-0.001,0.001,-0.001,0.001
100,20,"continuous","continuous",1,0,0,0,0,0,1,FALSE,-0.002,-0.004,-0.002,-0.004,-0.002,-0.004,-0.002,-0.004
200,20,"continuous","continuous",1,0,0,0,0,0,1,FALSE,-0.003,-0.002,-0.003,-0.002,-0.003,-0.002,-0.003,-0.002
100,5,"binary","binary",1,1,0,0,0,0,1,FALSE,0.008,-0.019,-0.007,-0.017,-0.005,-0.015,-0.007,-0.018
200,5,"binary","binary",1,1,0,0,0,0,1,FALSE,-0.004,-0.046,-0.016,-0.046,-0.015,-0.046,-0.015,-0.046
100,20,"binary","binary",1,1,0,0,0,0,1,FALSE,-0.027,-0.028,-0.031,-0.027,-0.031,-0.028,-0.031,-0.027
200,20,"binary","binary",1,1,0,0,0,0,1,FALSE,-0.027,-0.039,-0.03,-0.039,-0.03,-0.038,-0.03,-0.039
100,5,"continuous","binary",1,1,0,0,0,0,1,FALSE,0.051,-0.019,0.032,-0.019,0.032,-0.02,0.031,-0.019
200,5,"continuous","binary",1,1,0,0,0,0,1,FALSE,0.016,-0.007,-0.001,-0.007,0,-0.007,-0.001,-0.007
100,20,"continuous","binary",1,1,0,0,0,0,1,FALSE,0.012,0.003,0.008,0.003,0.008,0.003,0.008,0.003
200,20,"continuous","binary",1,1,0,0,0,0,1,FALSE,0.003,0.001,0,0.001,-0.001,0.001,-0.001,0
100,5,"binary","continuous",1,1,0,0,0,0,1,FALSE,0,-0.001,0,-0.001,0,-0.001,0,-0.001
