"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l2_g.10_bias","l3a_g.10_bias","l4_g.10_bias","g.exchangeable2_g.10_bias","g.exchangeable3_g.10_bias","g.exchangeable4_g.10_bias","g.ar12_g.10_bias","g.ar13_g.10_bias","g.ar14_g.10_bias","g.independence2_g.10_bias","g.independence3_g.10_bias","g.independence4_g.10_bias"
100,5,"binary","binary",1,0,0,1.5,0,0,1,FALSE,0.03,0.003,0.003,-0.009,-0.012,-0.012,-0.008,-0.011,-0.011,-0.008,-0.012,-0.012
200,5,"binary","binary",1,0,0,1.5,0,0,1,FALSE,0.071,0.044,0.044,0.035,0.031,0.031,0.036,0.031,0.031,0.037,0.031,0.031
100,20,"binary","binary",1,0,0,1.5,0,0,1,FALSE,0.01,0.002,0.002,0,-0.002,-0.002,0,-0.002,-0.002,0.001,-0.002,-0.002
200,20,"binary","binary",1,0,0,1.5,0,0,1,FALSE,0.021,0.013,0.013,0.013,0.01,0.01,0.013,0.01,0.01,0.013,0.01,0.01
100,5,"continuous","binary",1,0,0,1.5,0,0,1,FALSE,0.029,0.059,0.059,-0.089,0.038,0.038,-0.088,0.038,0.038,-0.089,0.038,0.038
200,5,"continuous","binary",1,0,0,1.5,0,0,1,FALSE,-0.002,0.021,0.021,-0.114,0.008,0.008,-0.114,0.008,0.008,-0.114,0.008,0.008
100,20,"continuous","binary",1,0,0,1.5,0,0,1,FALSE,-0.008,-0.001,-0.001,-0.037,-0.005,-0.005,-0.037,-0.005,-0.005,-0.037,-0.005,-0.005
200,20,"continuous","binary",1,0,0,1.5,0,0,1,FALSE,0.005,0.009,0.009,-0.028,0.006,0.006,-0.028,0.006,0.006,-0.028,0.006,0.006
100,5,"binary","continuous",1,0,0,1.5,0,0,1,FALSE,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018
200,5,"binary","continuous",1,0,0,1.5,0,0,1,FALSE,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.003,-0.002,-0.002,-0.002,-0.002,-0.002
100,20,"binary","continuous",1,0,0,1.5,0,0,1,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
200,20,"binary","continuous",1,0,0,1.5,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0
100,5,"continuous","continuous",1,0,0,1.5,0,0,1,FALSE,-0.006,-0.006,-0.006,-0.006,-0.006,-0.006,-0.005,-0.005,-0.005,-0.006,-0.006,-0.006
200,5,"continuous","continuous",1,0,0,1.5,0,0,1,FALSE,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.003,-0.002,-0.002,-0.002,-0.002,-0.002
100,20,"continuous","continuous",1,0,0,1.5,0,0,1,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
200,20,"continuous","continuous",1,0,0,1.5,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0
100,5,"binary","binary",1,1,0,1.5,0,0,1,FALSE,0.067,0.027,0.027,0.014,0.011,0.011,0.015,0.01,0.01,0.018,0.011,0.011
200,5,"binary","binary",1,1,0,1.5,0,0,1,FALSE,0.087,0.042,0.042,0.032,0.031,0.031,0.035,0.03,0.03,0.035,0.031,0.031
100,20,"binary","binary",1,1,0,1.5,0,0,1,FALSE,0.031,0.001,0.001,0,-0.003,-0.003,0.006,-0.003,-0.003,0.007,-0.003,-0.003
200,20,"binary","binary",1,1,0,1.5,0,0,1,FALSE,0.043,0.012,0.012,0.011,0.009,0.009,0.016,0.009,0.009,0.018,0.009,0.009
100,5,"continuous","binary",1,1,0,1.5,0,0,1,FALSE,0.041,0.07,0.07,-0.431,0.051,0.051,-0.434,0.051,0.051,-0.433,0.05,0.05
200,5,"continuous","binary",1,1,0,1.5,0,0,1,FALSE,0,0.023,0.023,-0.462,0.006,0.006,-0.461,0.006,0.006,-0.463,0.006,0.006
100,20,"continuous","binary",1,1,0,1.5,0,0,1,FALSE,0.003,0.008,0.008,-0.419,0.005,0.005,-0.424,0.005,0.005,-0.42,0.005,0.005
