"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.01","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l2_g.10_bias","l3a_g.10_bias","l3a_g.01_bias","l4_g.10_bias","l4_g.01_bias","g.exchangeable2_g.10_bias","g.exchangeable3_g.10_bias","g.exchangeable3_g.01_bias","g.exchangeable4_g.10_bias","g.exchangeable4_g.01_bias","g.ar12_g.10_bias","g.ar13_g.10_bias","g.ar13_g.01_bias","g.ar14_g.10_bias","g.ar14_g.01_bias","g.independence2_g.10_bias","g.independence3_g.10_bias","g.independence3_g.01_bias","g.independence4_g.10_bias","g.independence4_g.01_bias"
100,5,"binary","binary",1,0,0,0,1.5,0,0,1,FALSE,0.03,0.003,0.032,0.003,0.029,-0.009,-0.012,0.017,-0.012,0.029,-0.008,-0.011,0.016,-0.011,0.027,-0.008,-0.012,0.017,-0.012,0.029
200,5,"binary","binary",1,0,0,0,1.5,0,0,1,FALSE,0.071,0.044,0.013,0.044,-0.031,0.035,0.031,0.001,0.031,-0.031,0.036,0.031,0.001,0.031,-0.03,0.037,0.031,0.001,0.031,-0.031
100,20,"binary","binary",1,0,0,0,1.5,0,0,1,FALSE,0.01,0.002,0.092,0.002,0.09,0,-0.002,0.087,-0.002,0.088,0,-0.002,0.089,-0.002,0.09,0.001,-0.002,0.088,-0.002,0.09
200,20,"binary","binary",1,0,0,0,1.5,0,0,1,FALSE,0.021,0.013,0.015,0.013,0.002,0.013,0.01,0.012,0.01,0.002,0.013,0.01,0.013,0.01,0.002,0.013,0.01,0.012,0.01,0.002
100,5,"continuous","binary",1,0,0,0,1.5,0,0,1,FALSE,0.029,0.059,0.056,0.059,-0.003,-0.089,0.038,0.034,0.038,-0.004,-0.088,0.038,0.034,0.038,-0.004,-0.089,0.038,0.035,0.038,-0.003
200,5,"continuous","binary",1,0,0,0,1.5,0,0,1,FALSE,-0.002,0.021,0.012,0.021,-0.009,-0.114,0.008,-0.001,0.008,-0.008,-0.114,0.008,0,0.008,-0.009,-0.114,0.008,0,0.008,-0.008
100,20,"continuous","binary",1,0,0,0,1.5,0,0,1,FALSE,-0.008,-0.001,-0.001,-0.001,0,-0.037,-0.005,-0.004,-0.005,0.001,-0.037,-0.005,-0.005,-0.005,0,-0.037,-0.005,-0.005,-0.005,0
200,20,"continuous","binary",1,0,0,0,1.5,0,0,1,FALSE,0.005,0.009,0.03,0.009,0.021,-0.028,0.006,0.027,0.006,0.021,-0.028,0.006,0.028,0.006,0.021,-0.028,0.006,0.028,0.006,0.021
100,5,"binary","continuous",1,0,0,0,1.5,0,0,1,FALSE,0.018,0.018,0,0.018,-0.018,0.018,0.018,0,0.018,-0.018,0.018,0.018,-0.001,0.018,-0.018,0.018,0.018,0,0.018,-0.018
200,5,"binary","continuous",1,0,0,0,1.5,0,0,1,FALSE,-0.002,-0.002,-0.004,-0.002,-0.003,-0.002,-0.002,-0.004,-0.002,-0.003,-0.003,-0.002,-0.004,-0.002,-0.002,-0.002,-0.002,-0.004,-0.002,-0.003
100,20,"binary","continuous",1,0,0,0,1.5,0,0,1,FALSE,0.001,0.001,0.003,0.001,0.003,0.001,0.001,0.003,0.001,0.003,0.001,0.001,0.003,0.001,0.002,0.001,0.001,0.003,0.001,0.003
200,20,"binary","continuous",1,0,0,0,1.5,0,0,1,FALSE,0,0,-0.016,0,-0.016,0,0,-0.016,0,-0.016,0,0,-0.016,0,-0.016,0,0,-0.016,0,-0.016
100,5,"continuous","continuous",1,0,0,0,1.5,0,0,1,FALSE,-0.006,-0.006,-0.005,-0.006,0,-0.006,-0.006,-0.005,-0.006,0,-0.005,-0.005,-0.006,-0.005,-0.001,-0.006,-0.006,-0.005,-0.006,0
200,5,"continuous","continuous",1,0,0,0,1.5,0,0,1,FALSE,-0.002,-0.002,-0.001,-0.002,0.001,-0.002,-0.002,-0.001,-0.002,0.001,-0.003,-0.002,-0.001,-0.002,0.001,-0.002,-0.002,-0.001,-0.002,0.001
100,20,"continuous","continuous",1,0,0,0,1.5,0,0,1,FALSE,0.001,0.001,-0.002,0.001,-0.004,0.001,0.001,-0.002,0.001,-0.004,0.001,0.001,-0.002,0.001,-0.004,0.001,0.001,-0.002,0.001,-0.004
200,20,"continuous","continuous",1,0,0,0,1.5,0,0,1,FALSE,0,0,-0.003,0,-0.002,0,0,-0.003,0,-0.002,0,0,-0.003,0,-0.002,0,0,-0.003,0,-0.002
100,5,"binary","binary",1,1,0,0,1.5,0,0,1,FALSE,0.067,0.027,0.008,0.027,-0.019,0.014,0.011,-0.007,0.011,-0.017,0.015,0.01,-0.005,0.01,-0.015,0.018,0.011,-0.007,0.011,-0.018
200,5,"binary","binary",1,1,0,0,1.5,0,0,1,FALSE,0.087,0.042,-0.004,0.042,-0.046,0.032,0.031,-0.016,0.031,-0.046,0.035,0.03,-0.015,0.03,-0.046,0.035,0.031,-0.015,0.031,-0.046
100,20,"binary","binary",1,1,0,0,1.5,0,0,1,FALSE,0.031,0.001,-0.027,0.001,-0.028,0,-0.003,-0.031,-0.003,-0.027,0.006,-0.003,-0.031,-0.003,-0.028,0.007,-0.003,-0.031,-0.003,-0.027
200,20,"binary","binary",1,1,0,0,1.5,0,0,1,FALSE,0.043,0.012,-0.027,0.012,-0.039,0.011,0.009,-0.03,0.009,-0.039,0.016,0.009,-0.03,0.009,-0.038,0.018,0.009,-0.03,0.009,-0.039
100,5,"continuous","binary",1,1,0,0,1.5,0,0,1,FALSE,0.041,0.07,0.051,0.07,-0.019,-0.431,0.051,0.032,0.051,-0.019,-0.434,0.051,0.032,0.051,-0.02,-0.433,0.05,0.031,0.05,-0.019
200,5,"continuous","binary",1,1,0,0,1.5,0,0,1,FALSE,0,0.023,0.016,0.023,-0.007,-0.462,0.006,-0.001,0.006,-0.007,-0.461,0.006,0,0.006,-0.007,-0.463,0.006,-0.001,0.006,-0.007
100,20,"continuous","binary",1,1,0,0,1.5,0,0,1,FALSE,0.003,0.008,0.012,0.008,0.003,-0.419,0.005,0.008,0.005,0.003,-0.424,0.005,0.008,0.005,0.003,-0.42,0.005,0.008,0.005,0.003
200,20,"continuous","binary",1,1,0,0,1.5,0,0,1,FALSE,-0.001,0.002,0.003,0.002,0.001,-0.426,-0.001,0,-0.001,0.001,-0.423,-0.001,-0.001,-0.001,0.001,-0.425,-0.001,-0.001,-0.001,0
100,5,"binary","continuous",1,1,0,0,1.5,0,0,1,FALSE,0.001,0.001,0,0.001,-0.001,0.001,0.001,0,0.001,-0.001,0.002,0.001,0,0.001,-0.001,0.001,0.001,0,0.001,-0.001
200,5,"binary","continuous",1,1,0,0,1.5,0,0,1,FALSE,0.015,0.015,-0.008,0.015,-0.023,0.015,0.015,-0.008,0.015,-0.023,0.015,0.015,-0.008,0.015,-0.023,0.015,0.015,-0.008,0.015,-0.023
100,20,"binary","continuous",1,1,0,0,1.5,0,0,1,FALSE,0.001,0.001,0,0.001,-0.001,0.001,0.001,0,0.001,-0.001,0.002,0.001,0,0.001,-0.001,0.001,0.001,0,0.001,-0.001
200,20,"binary","continuous",1,1,0,0,1.5,0,0,1,FALSE,-0.004,-0.004,-0.003,-0.004,0.001,-0.004,-0.004,-0.003,-0.004,0.001,-0.005,-0.004,-0.003,-0.004,0.001,-0.004,-0.004,-0.003,-0.004,0.001
100,5,"continuous","continuous",1,1,0,0,1.5,0,0,1,FALSE,0.005,0.005,0.003,0.005,-0.002,0.005,0.005,0.003,0.005,-0.002,0.01,0.005,0.003,0.005,-0.002,0.005,0.005,0.003,0.005,-0.002
