"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.01","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l4_g.01_bias","l4_g.10_bias","l3a_g.01_bias","l3a_g.10_bias","l2_g.10_bias"
100,5,"binary","binary",1,0,0,0,1.5,0,0,1,FALSE,0.029,0.003,0.032,0.003,0.03
200,5,"binary","binary",1,0,0,0,1.5,0,0,1,FALSE,-0.031,0.044,0.013,0.044,0.071
100,20,"binary","binary",1,0,0,0,1.5,0,0,1,FALSE,0.09,0.002,0.092,0.002,0.01
200,20,"binary","binary",1,0,0,0,1.5,0,0,1,FALSE,0.002,0.013,0.015,0.013,0.021
100,5,"continuous","binary",1,0,0,0,1.5,0,0,1,FALSE,-0.003,0.059,0.056,0.059,0.029
200,5,"continuous","binary",1,0,0,0,1.5,0,0,1,FALSE,-0.009,0.021,0.012,0.021,-0.002
100,20,"continuous","binary",1,0,0,0,1.5,0,0,1,FALSE,0,-0.001,-0.001,-0.001,-0.008
200,20,"continuous","binary",1,0,0,0,1.5,0,0,1,FALSE,0.021,0.009,0.03,0.009,0.005
100,5,"binary","continuous",1,0,0,0,1.5,0,0,1,FALSE,-0.018,0.018,0,0.018,0.018
200,5,"binary","continuous",1,0,0,0,1.5,0,0,1,FALSE,-0.003,-0.002,-0.004,-0.002,-0.002
100,20,"binary","continuous",1,0,0,0,1.5,0,0,1,FALSE,0.003,0.001,0.003,0.001,0.001
200,20,"binary","continuous",1,0,0,0,1.5,0,0,1,FALSE,-0.016,0,-0.016,0,0
100,5,"continuous","continuous",1,0,0,0,1.5,0,0,1,FALSE,0,-0.006,-0.005,-0.006,-0.006
200,5,"continuous","continuous",1,0,0,0,1.5,0,0,1,FALSE,0.001,-0.002,-0.001,-0.002,-0.002
100,20,"continuous","continuous",1,0,0,0,1.5,0,0,1,FALSE,-0.004,0.001,-0.002,0.001,0.001
200,20,"continuous","continuous",1,0,0,0,1.5,0,0,1,FALSE,-0.002,0,-0.003,0,0
100,5,"binary","binary",1,1,0,0,1.5,0,0,1,FALSE,-0.019,0.027,0.008,0.027,0.067
200,5,"binary","binary",1,1,0,0,1.5,0,0,1,FALSE,-0.046,0.042,-0.004,0.042,0.087
100,20,"binary","binary",1,1,0,0,1.5,0,0,1,FALSE,-0.028,0.001,-0.027,0.001,0.031
200,20,"binary","binary",1,1,0,0,1.5,0,0,1,FALSE,-0.039,0.012,-0.027,0.012,0.043
100,5,"continuous","binary",1,1,0,0,1.5,0,0,1,FALSE,-0.019,0.07,0.051,0.07,0.041
200,5,"continuous","binary",1,1,0,0,1.5,0,0,1,FALSE,-0.007,0.023,0.016,0.023,0
100,20,"continuous","binary",1,1,0,0,1.5,0,0,1,FALSE,0.003,0.008,0.012,0.008,0.003
200,20,"continuous","binary",1,1,0,0,1.5,0,0,1,FALSE,0.001,0.002,0.003,0.002,-0.001
100,5,"binary","continuous",1,1,0,0,1.5,0,0,1,FALSE,-0.001,0.001,0,0.001,0.001
