"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","sd.u0","sd.u1","sd.e","true_cluster_means","l1_X","g.exchangeable1_X","g.ar11_X","g.independence1_X","l2_X.cent","g.exchangeable2_X.cent","g.ar12_X.cent","g.independence2_X.cent","l3a_X.cent","g.exchangeable3_X.cent","g.ar13_X.cent","g.independence3_X.cent","l3a_X.cluster.means","g.exchangeable3_X.cluster.means","g.ar13_X.cluster.means","g.independence3_X.cluster.means","l4_X","g.exchangeable4_X","g.ar14_X","g.independence4_X","l4_X.cluster.means","g.exchangeable4_X.cluster.means","g.ar14_X.cluster.means","g.independence4_X.cluster.means","l1_success","l2_success","l3a_success","l4_success","g.independence1_success","g.exchangeable1_success","g.ar11_success","g.independence2_success","g.exchangeable2_success","g.ar12_success","g.independence3_success","g.ar13_success","g.independence4_success","g.exchangeable4_success","g.ar14_success"
100,5,"binary","binary",1,0,0,0,0,1,TRUE,1.506,1.489,1.492,1.491,1.506,1.489,1.492,1.491,1.506,NA,NA,NA,NA,NA,NA,NA,1.506,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,5,"binary","binary",1,0,0,0,0,1,TRUE,1.538,1.525,1.525,1.525,1.538,1.525,1.525,1.525,1.538,NA,NA,NA,NA,NA,NA,NA,1.538,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,20,"binary","binary",1,0,0,0,0,1,TRUE,1.506,1.502,1.502,1.502,1.506,1.502,1.502,1.502,1.506,NA,NA,NA,NA,NA,NA,NA,1.506,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,20,"binary","binary",1,0,0,0,0,1,TRUE,1.513,1.51,1.51,1.51,1.513,1.51,1.51,1.51,1.513,NA,NA,NA,NA,NA,NA,NA,1.513,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,5,"continuous","binary",1,0,0,0,0,1,TRUE,1.555,1.532,1.533,1.533,1.555,1.532,1.533,1.533,1.555,NA,NA,NA,NA,NA,NA,NA,1.555,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,5,"continuous","binary",1,0,0,0,0,1,TRUE,1.519,1.505,1.505,1.505,1.519,1.505,1.505,1.505,1.519,NA,NA,NA,NA,NA,NA,NA,1.519,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,20,"continuous","binary",1,0,0,0,0,1,TRUE,1.499,1.494,1.495,1.494,1.499,1.494,1.495,1.494,1.499,NA,NA,NA,NA,NA,NA,NA,1.499,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,20,"continuous","binary",1,0,0,0,0,1,TRUE,1.51,1.507,1.507,1.507,1.51,1.507,1.507,1.507,1.51,NA,NA,NA,NA,NA,NA,NA,1.51,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,5,"binary","continuous",1,0,0,0,0,1,TRUE,1.515,1.514,1.514,1.514,1.515,1.514,1.514,1.514,1.515,NA,NA,NA,NA,NA,NA,NA,1.515,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,5,"binary","continuous",1,0,0,0,0,1,TRUE,1.499,1.499,1.498,1.498,1.499,1.499,1.498,1.498,1.499,NA,NA,NA,NA,NA,NA,NA,1.499,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,20,"binary","continuous",1,0,0,0,0,1,TRUE,1.501,1.501,1.501,1.501,1.501,1.501,1.501,1.501,1.501,NA,NA,NA,NA,NA,NA,NA,1.501,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,20,"binary","continuous",1,0,0,0,0,1,TRUE,1.499,1.499,1.499,1.499,1.499,1.499,1.499,1.499,1.499,NA,NA,NA,NA,NA,NA,NA,1.499,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,5,"continuous","continuous",1,0,0,0,0,1,TRUE,1.494,1.494,1.494,1.494,1.494,1.494,1.494,1.494,1.494,NA,NA,NA,NA,NA,NA,NA,1.494,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,5,"continuous","continuous",1,0,0,0,0,1,TRUE,1.498,1.499,1.499,1.499,1.498,1.499,1.499,1.499,1.498,NA,NA,NA,NA,NA,NA,NA,1.498,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,20,"continuous","continuous",1,0,0,0,0,1,TRUE,1.501,1.501,1.501,1.501,1.501,1.501,1.501,1.501,1.501,NA,NA,NA,NA,NA,NA,NA,1.501,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,20,"continuous","continuous",1,0,0,0,0,1,TRUE,1.499,1.499,1.499,1.499,1.499,1.499,1.499,1.499,1.499,NA,NA,NA,NA,NA,NA,NA,1.499,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,5,"binary","binary",1,1,0,0,0,1,TRUE,1.516,1.5,1.499,1.499,1.542,1.51,1.509,1.509,1.521,1.506,1.505,1.505,1.513,1.497,1.499,1.498,1.521,1.506,1.505,1.505,-0.009,-0.009,-0.006,-0.007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
