"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.01","sd.u0","sd.u1","sd.e","true_cluster_means","l3a_g.01_bias","l4_g.01_bias","g.exchangeable3_g.01_bias","g.exchangeable4_g.01_bias","g.ar13_g.01_bias","g.ar14_g.01_bias","g.independence3_g.01_bias","g.independence4_g.01_bias","l1_success","l2_success","l3a_success","l4_success","g.independence1_success","g.exchangeable1_success","g.ar11_success","g.independence2_success","g.exchangeable2_success","g.ar12_success","g.independence3_success","g.ar13_success","g.independence4_success","g.exchangeable4_success","g.ar14_success"
100,5,"binary","binary",1,0,0,0,0,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,5,"binary","binary",1,0,0,0,0,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,20,"binary","binary",1,0,0,0,0,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,20,"binary","binary",1,0,0,0,0,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,5,"continuous","binary",1,0,0,0,0,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,5,"continuous","binary",1,0,0,0,0,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,20,"continuous","binary",1,0,0,0,0,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,20,"continuous","binary",1,0,0,0,0,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,5,"binary","continuous",1,0,0,0,0,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,5,"binary","continuous",1,0,0,0,0,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,20,"binary","continuous",1,0,0,0,0,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,20,"binary","continuous",1,0,0,0,0,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,5,"continuous","continuous",1,0,0,0,0,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,5,"continuous","continuous",1,0,0,0,0,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,20,"continuous","continuous",1,0,0,0,0,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
200,20,"continuous","continuous",1,0,0,0,0,0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
100,5,"binary","binary",1,1,0,0,0,0,1,TRUE,0.013,-0.009,-0.003,-0.009,-0.001,-0.006,-0.002,-0.007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,1,0,0,0,0,1,TRUE,-0.054,-0.098,-0.065,-0.097,-0.065,-0.097,-0.065,-0.097,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,1,0,0,0,0,1,TRUE,-0.033,-0.035,-0.038,-0.035,-0.038,-0.036,-0.038,-0.035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,1,0,0,0,0,1,TRUE,-0.036,-0.048,-0.039,-0.048,-0.039,-0.047,-0.039,-0.048,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,1,0,0,0,0,1,TRUE,0.054,-0.01,0.035,-0.009,0.034,-0.011,0.034,-0.009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,1,0,0,0,0,1,TRUE,0.021,0.004,0.004,0.003,0.004,0.004,0.004,0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,1,0,0,0,0,1,TRUE,0.014,0.008,0.01,0.008,0.01,0.008,0.01,0.008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,1,0,0,0,0,1,TRUE,0.003,0.001,0,0.001,0,0.001,0,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,1,0,0,0,0,1,TRUE,0.032,0.038,0.032,0.039,0.032,0.038,0.032,0.038,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,1,0,0,0,0,1,TRUE,0.009,0.002,0.009,0.003,0.009,0.003,0.009,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,1,0,0,0,0,1,TRUE,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,1,0,0,0,0,1,TRUE,-0.001,0.004,-0.001,0.004,-0.001,0.004,-0.001,0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,1,0,0,0,0,1,TRUE,0.002,-0.003,0.002,-0.003,0.003,-0.003,0.002,-0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,1,0,0,0,0,1,TRUE,-0.001,-0.004,-0.001,-0.004,-0.001,-0.004,-0.001,-0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,1,0,0,0,0,1,TRUE,0,-0.001,0,-0.001,0,-0.001,0,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,1,0,0,0,0,1,TRUE,0,0,0,0,0,-0.001,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,3,0,0,0,0,1,TRUE,0.07,0.046,0.054,0.044,0.055,0.048,0.054,0.045,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,3,0,0,0,0,1,TRUE,-0.003,-0.007,-0.015,-0.007,-0.016,-0.007,-0.015,-0.006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,3,0,0,0,0,1,TRUE,-0.003,-0.002,-0.006,-0.002,-0.006,-0.001,-0.006,-0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,3,0,0,0,0,1,TRUE,0.006,-0.011,0.004,-0.011,0.003,-0.01,0.004,-0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,3,0,0,0,0,1,TRUE,0.067,0.02,0.037,0.019,0.038,0.02,0.037,0.021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,3,0,0,0,0,1,TRUE,0.025,0.005,0.008,0.005,0.008,0.005,0.008,0.006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,3,0,0,0,0,1,TRUE,0.004,0.004,0.001,0.004,0,0.004,0,0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,3,0,0,0,0,1,TRUE,0.008,0.003,0.002,0.002,0.002,0.002,0.002,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,3,0,0,0,0,1,TRUE,0.01,0.018,0.01,0.018,0.01,0.017,0.01,0.018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,3,0,0,0,0,1,TRUE,0.011,0.01,0.011,0.01,0.011,0.01,0.011,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,3,0,0,0,0,1,TRUE,-0.001,-0.011,-0.001,-0.011,-0.001,-0.011,-0.001,-0.011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,3,0,0,0,0,1,TRUE,0.001,-0.007,0.001,-0.007,0.001,-0.007,0.001,-0.007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,3,0,0,0,0,1,TRUE,-0.003,-0.005,-0.003,-0.005,-0.003,-0.005,-0.003,-0.005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,3,0,0,0,0,1,TRUE,0.001,-0.001,0.001,0,0.001,-0.001,0.001,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,3,0,0,0,0,1,TRUE,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,3,0,0,0,0,1,TRUE,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,1,0,1,0,0,1,TRUE,0.156,0.153,0.13,0.14,0.126,0.139,0.127,0.141,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,1,0,1,0,0,1,TRUE,-0.011,-0.022,-0.031,-0.031,-0.03,-0.03,-0.031,-0.03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,1,0,1,0,0,1,TRUE,-0.002,-0.02,-0.009,-0.024,-0.009,-0.023,-0.009,-0.023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,1,0,1,0,0,1,TRUE,0.012,0.009,0.005,0.006,0.006,0.007,0.006,0.006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,1,0,1,0,0,1,TRUE,0.103,0.048,0.059,0.031,0.059,0.03,0.059,0.03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,1,0,1,0,0,1,TRUE,0.031,0.009,0.009,0.001,0.009,0.001,0.008,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,1,0,1,0,0,1,TRUE,0.023,0.014,0.014,0.01,0.015,0.011,0.014,0.011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,1,0,1,0,0,1,TRUE,0.006,0.005,0.001,0.003,0.002,0.003,0.001,0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,1,0,1,0,0,1,TRUE,-0.016,-0.027,-0.016,-0.026,-0.016,-0.027,-0.016,-0.028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,1,0,1,0,0,1,TRUE,-0.017,-0.005,-0.017,-0.006,-0.017,-0.006,-0.017,-0.006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,1,0,1,0,0,1,TRUE,-0.023,-0.024,-0.023,-0.024,-0.023,-0.024,-0.023,-0.024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,1,0,1,0,0,1,TRUE,-0.013,-0.013,-0.013,-0.013,-0.013,-0.013,-0.013,-0.013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","continuous",1,1,0,1,0,0,1,TRUE,0.003,0.005,0.003,0.005,0.004,0.005,0.003,0.005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","continuous",1,1,0,1,0,0,1,TRUE,-0.003,-0.001,-0.003,-0.002,-0.003,-0.001,-0.003,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","continuous",1,1,0,1,0,0,1,TRUE,0.005,0.002,0.005,0.002,0.005,0.002,0.005,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","continuous",1,1,0,1,0,0,1,TRUE,0,0.001,0,0.001,0,0.001,0,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
